source,source_id,title,company,location,latitude,longitude,url,listed,deadline,deadline_kind,first_seen,last_seen
jobindex,h1678306,"Student Assistant, Global IT – Shape how Struers adopts and scales AI.",Struers ApS,Ballerup,55.730219,12.329915,https://www.jobindex.dk/vis-job/h1678306,2026-09-07,,asap,2026-09-15,2026-09-15
jobindex,h1684112,Student worker,Oterra,Taastrup,55.66930177,12.30466824,https://www.jobindex.dk/vis-job/h1684112,2026-09-15,,asap,2026-09-15,2026-09-15
jobindex,h1686876,"Jurastuderende til studiejob med fokus på ""Compliance""",Canon Danmark,Søborg,55.740815752997,12.486378751922,https://www.jobindex.dk/vis-job/h1686876,2026-09-02,,,2026-09-15,2026-09-15
jobindex,h1687909,Student Assistant in Architecture & Technology,Nordic RCC,København S,55.627038248641,12.5777808914789,https://www.jobindex.dk/vis-job/h1687909,2026-09-07,2026-09-15,date,2026-09-15,2026-09-15
jobindex,h1690299,Fundraiser hos Psykiatrifonden (studiejob),Psykiatrifonden,København NV,55.698691,12.532624,https://www.jobindex.dk/vis-job/h1690299,2026-08-18,,asap,2026-09-15,2026-09-15
jobindex,h1690532,Marketing Student Assistant,Everllence,København SV,55.6505272,12.5556564,https://www.jobindex.dk/vis-job/h1690532,2026-08-18,2026-09-15,date,2026-09-15,2026-09-15
jobindex,h1690810,"Strategy Analyst – Strategy & Sustainability, Student Worker",KIRKBI A/S,København K,55.6818551,12.5820937,https://www.jobindex.dk/vis-job/h1690810,2026-08-19,,asap,2026-09-15,2026-09-15
jobindex,h1690882,"Juridisk afdeling i Danmarks Lærerforening søger jurastuderende, som er interesseret i at arbejde med ansættelsesret",Danmarks Lærerforening,København K,55.675925,12.573564,https://www.jobindex.dk/vis-job/h1690882,2026-08-19,2026-09-30,date,2026-09-15,2026-09-15
jobindex,h1691693,Studiejob på SOS Alarmcentral,SOS International,København S,55.63169986,12.57341722,https://www.jobindex.dk/vis-job/h1691693,2026-08-24,2026-09-16,date,2026-09-15,2026-09-15
jobindex,h1692030,Student Assistant – Cyber Security & Compliance,Nordic RCC,København S,55.627038248641,12.5777808914789,https://www.jobindex.dk/vis-job/h1692030,2026-08-25,2026-09-30,date,2026-09-15,2026-09-15
jobindex,h1692147,"Research Specialist, IT-rekruttering (studiejob)",Bloom,Ballerup,55.734867,12.389359,https://www.jobindex.dk/vis-job/h1692147,2026-08-25,,asap,2026-09-15,2026-09-15
jobindex,h1692440,Student Worker – Private Lease,Ayvens,Taastrup,55.660978502436,12.28052725656,https://www.jobindex.dk/vis-job/h1692440,2026-08-26,2026-09-19,date,2026-09-15,2026-09-15
jobindex,h1692564,"Student Assistant, Contract Management, Renewables",Semco Maritime A/S,Nordhavn,55.707161573557,12.591453619577,https://www.jobindex.dk/vis-job/h1692564,2026-08-26,2026-09-16,date,2026-09-15,2026-09-15
jobindex,h1692857,Student Assistant – Marketing,Saphe A/S,København,,,https://www.jobindex.dk/vis-job/h1692857,2026-08-27,,asap,2026-09-15,2026-09-15
jobindex,h1693286,Student Assistant - PMO & Programme Coordination Polaris Programmet,Carglass®,Albertslund,55.663875,12.363179,https://www.jobindex.dk/vis-job/h1693286,2026-09-01,2026-09-24,date,2026-09-15,2026-09-15
jobindex,h1694018,Studiejob i receptionen – 1–3 vagter om ugen · vi er fleksible,Wittrup Motel A/S,Albertslund,55.660126,12.328583,https://www.jobindex.dk/vis-job/h1694018,2026-08-31,,asap,2026-09-15,2026-09-15
jobindex,h1694200,Student Worker — Marine Engine Digital Twin Development (Python),Everllence,København SV,55.6505272,12.5556564,https://www.jobindex.dk/vis-job/h1694200,2026-09-01,2026-09-25,date,2026-09-15,2026-09-15
jobindex,h1694264,Student Assistant for International Partnerships,"DTU, Danmarks Tekniske Universitet",Kgs. Lyngby,55.786489,12.5245396,https://www.jobindex.dk/vis-job/h1694264,2026-09-01,2026-09-20,date,2026-09-15,2026-09-15
jobindex,h1694291,Audit Studentermedarbejder i EY,EY,Frederiksberg,55.6849274,12.5023925,https://www.jobindex.dk/vis-job/h1694291,2026-09-01,,asap,2026-09-15,2026-09-15
jobindex,h1694450,Student Assistant – Continuous Improvement / Lean Operations,Hamamatsu Photonics,Birkerød,55.839075085632,12.400367768668,https://www.jobindex.dk/vis-job/h1694450,2026-09-01,,asap,2026-09-15,2026-09-15
